Teks_Komentar,teks_final
"keluar Indonesia yg sbnernya buat pribadi diri sndiri ga ngerugiin org ga nasionalis lebih ga nasionalis mana sama korupsi yg makan kesejahteraan bangsa ini menyangkut bnyak org?, smpe bangsa yg sebesar ini susah maju?😢",indonesia sbnernya pribadi ngerugiin orang nasionalis nasionalis korupsi makan sejahtera bangsa sangkut orang bangsa susah majuwajahmenangis
kabur saja biar tenang indonesia.....tdk buat gaduh,kabur tenang indonesiatidak gaduh
Keluar negeri kerja trus kumpulkan buat beli lahan sawit. Kayak kk ane yg di turki. Semoga tercapai dan sehat terus yh,negeri kerja kumpul beli lahan sawit kayak kakak ane turki moga capai sehat
"Menit ke 10:25 persis banget apa yg pak Anis Baswedan bilang, dan saya setuju",menit persis banget anis baswedan bilang tuju
"W ada di posisi pengen kabur tapi udah ngak bisa karena udah nikah, udah punya anak, dan udah 35 tahin😢😢😢 sesedih itu kadang",gue posisi pengin kabur nikah anak tahinwajahmenangiswajahmenangiswajahmenangis sedih kadang
"Pengen keluar dari Konoha tapi gabisa bahasa asing, tapi gatahan sama kebijakan dan kaum elit yang  gabisa disentuh hukum wkwk 🤣 kalo kena sentuh asal berkelakuan baik dapet remisi penahanan ihiwww",pengin konoha bahasa asing gatahan bijak kaum elit sentuh hukum tertawaterbahakbahak kena sentuh laku remisi tahan ihiw
Lha yang bikin ..amburadul ya mentalnya  mau kabur...itu. Wong peraturannya dah ada kok,bikin amburadul mental kaburitu atur deh
Kabur aja berdua lu cocok ke Yaman atau Turki boleh trus ngoceh dah di sana wkwkwkw coba gimana mau liat..,kabur cocok yaman turki oceh deh coba lihat
Betul.waktunya Raymond yg koordinir  terutama yg mau kabur tp g bisa krna keterbatasan 👍,betulwaktunya raymond koordinir utama kabur batas jempolkeatas
"Tki atau tkw termasuk kabur aja dulu gak si..?  Secara merekaa kluar dri indonesia dlm waktu yg cukup lama,, klo iya termasuk berrti fenomena ini sudah terjadi sejak jaman dulu,,  Dan apakah nabi mohamad ketika melakukan hijrah apakah itu visa di sebut kabur aja dulu..?",tki tkw masuk kabur indonesia iya masuk berrti fenomena jaman nabi mohamad laku hijrah visa kabur
"saya setuju pendapat ustad felix ,, tpi menurutku ustad felix ini lbh baik dakwah aja,jangan digabungkan dgn politik. karena dakwahnya ustad felix bisa bikin orang semangat dan mau berpikir maju. kalo sdh bicara ranah politik dll,takutnya kepancing dgn info2 yg kurang jelas.",tuju ustad felix ustad felix dakwah sajajangan gabung politik dakwah ustad felix bikin orang semangat pikir maju bicara ranah politik dltakutnya pancing info
Kepastian hukum yg ga jelas di negara ini.,hukum negara
"Betul men, negara ini keadilan sangat kureng, mending bagi bagi aja wilayahnya",men negara adil reng mending wilayah
"Aku se7 dgn pendapat ustad felix tentang dikembalikan nya keadilan terlebih dahulu. Kenapa? Saya udah tinggal di Swiss +-5 tahunan, pajak tinggi 40-50%, cost living paling tinggi di dunia yg di mana kalo itu dilakuin di negara yg salah (trust me) 80% penduduknya adalah masyarakat miskin, jobless, dll. Nah, kalo ditanya enak tinggal di mana Swiss atau Indonesia aku bakal jawab dengan lantang ""Indonesia"", why? Jangan tanya kenapa terlalu banyak faktor yg bikin aku ga bisa lepas dari Indonesia. Tetapi kalo aku kembali ke Indonesia dan meninggalkan apa yg sudah saya miliki di Swiss, apakah Indonesia akan menjamin kesejahteraan saya seperti di Swiss? Saya ga peduli income saya lebih sedikit  asalkan uang saya digunakan dengan baik, seperti pendidikan, kesehatan, pemerataan bangunan, jalan-jalan, dll. Temen"" saya yang di Swiss dan di negara Eropa lainnya 80% berpikiran sama seperti saya, kami rela meninggalkan income puluhan bahkan ada yg sampai ratusan juta per bulan demi balik ke Indonesia tapi Indonesia bisa menjamin apa terhadap keluarga kami nanti?",ustad felix adil tinggal swis pajak cost living dunia dilakuin negara salah trust duduk masyarakat miskin jobles dl enak tinggal swis indonesia lantang indonesia faktor bikin lepas indonesia indonesia tinggal milik swis indonesia jamin sejahtera swis peduli income uang didik sehat perata bangun jalanjalan dl teman swis negara eropa pikir rela tinggal income puluh ratus juta indonesia indonesia jamin hadap keluarga
"Ga ikhlas aja bang, kalau bayar pajak tinggi ,hasilnya yang diterima rakyat  tdk seperti diharapkan,  fasilitas umum semrawut ,amburadul.",ikhlas bayar pajak hasil terima rakyat harap fasilitas semrawut amburadul
"Inspiring. This is exactly my mindset setelah kerja dijepang selama 3 tahun. Rasa rindu tanah air tidak pernah hilang dan sekarang berniat kontribusi untuk negara tercintaku dengan apa yang sudah saya dapat (skills). Kabur aja dulu but Dream bigger, contribute to your community where you were born and raised.",inspiring exactly mindset kerja dijepang rindu tanah air hilang niat kontribusi negara cinta skills kabur dream bigger contribute community born raised
"Pengalaman pahit di indonesia kerja gempor gempor, bekerja utk mendaki karir dan skill, cm dipatahkan dengan komen ibu2 org lama (dan masuk krn org dalem) dikantor ""cina putih tinggal ngangk4ng jg cepet lah naik posisi"", tepat pas aku naik kedudukan. The next thing i know, i vowed to escape indonesia, and here i am. Pas sampe di LN kaget, tabungan krja 5 tahun (bukan sandwich gen), itu lebih rendah drpd gaji sebulan di LN. Itupun aku masuk dgn gaji setara freshgrad lebih dkit. Mantap. Pulang pergi kerja sama2 naik bus ke kantor, di indo buset udah umpek2an bau, digodain orang, kecopetan, macet ga sampe2. Disini kerjanya serius gaji nya becanda. Lagi demo besar2an dipaksa ngantor, cwe muka chinese disuruh nerjang orang demo apa gak bahaya? Kantor ga mau tau. AKu jawab ke hrd, kalo aku dijalan mati diculik ato lain2, selain ""turut berduka cita"" ibu bisa kasih apa ke keluarga saya? MINGKEM!!!",alam pahit indonesia kerja gempor gempor kerja daki karir skil patah komen ibuibu orang masuk orang dalem kantor cina putih tinggal ngangkng cepat posisi pas duduk next thing know vowed escape indonesia pas ln kaget tabung krja sandwich gen rendah gaji ln masuk gaji tara freshgrad dkit mantap pulang pergi kerja samasama bus kantor indonesia buset umpekan bau digodain orang copet macet sampe kerja serius gaji becanda demo besarbesaran paksa ngantor cewek muka chinese suruh nerjang orang demo bahaya kantor hrd jalan mati culik duka cita kasih keluarga mingkem
"K Ray, saya siap kabur aja dulu tapi tidak tahu bagaimana caranya",ray kabur
Kabur saja dulu merupakan propaganda politik oleh pemerintah lebih tepat nya perbudakan yang di lakukan pemerintah untuk devisa negara bayangkan ke untungan negara untuk memperkuat rupiah ada 9 juta pmi kalau tiap bulan kirim 1 juta ke indo berarti 12 juta tiap tahun kalikan 9 juta x 12 juta berapa ratus triliun devisa negara,kabur rupa propaganda politik perintah budak laku perintah devisa negara bayang untung negara kuat rupiah juta pmi kirim juta indonesia arti juta kali juta kali juta ratus triliun devisa negara
"Kli ini ustad felix ga bener² mewakili pikiran org indonedia, boro² bolak balik keluar negri, nyari kerja aja susah, mau usaha ga ada permodalan, intinya nyari kerja dipersulit hidup makin sulit, kali ini ustadz felix ga relate sm yg dirasain org",kali ustad felix benarbenar wakil pikir orang indonedia boroboro bolak negeri cari kerja susah usaha modal inti cari kerja sulit hidup sulit kali ustadz felix relate dirasain orang
Yg tdk balik di luar negeri banyak banget,negeri banget
Betul banget koh felix. Ingin misuh krn saya gak mapu ke luar negeri. Merasa gak nyaman hidup di negeri sendiri,banget koh felix misuh mapu negeri nyaman hidup negeri
"Jamin dulu kebutuhan rakyatnya, sejahterakan rakyat nya, bela warga negaranya jika seluruhnya sudah terpenuhi Silahkan negara tekan rakyat dan tegakkan hukum dengan se keji² nya. #Ayihijrah",jamin butuh rakyat sejahtera rakyat bela warga negara penuh sila negara tekan rakyat tegak hukum keji ayihijrah
D katain Ga nasionalis sm yg org yg dgaji ama rakyat.,katain nasionalis orang dgaji rakyat
"Org2 indonesia sering paling susah diatur...spt trotoar , itu sdh penuh dgnnpedagang kaki lima shg hak pejalan kaki dirampas....selain itu petugasnya jg mood2an utk mengaturnya..selain itu , susah bgt diajarun utk buang sampah pd tmonya...dan byk lg permasalahan,npdhl kl keluar negri bs nurut sm aturan...ini sdh jd lingkaran setan...kl masy dan pemerintah  serta instansi2 lainnya dpt bekerjasama dan sadar akan aturan, indonesia bs maju...belum juga dgn tradisi korupsi yg dari jabatan rendah smp yg tgg....entahlah",orangorang indonesia susah diaturseperti trotoar penuh dgnnpedagang kaki shg hak pejal kaki dirampasselain tugas moodan mengaturnyaselain susah banget diajarun buang sampah tmonyadan permasalahannpdhl negeri nurut aturanini lingkar setankalo masy perintah instansi bekerjasama sadar atur indonesia majubelum tradisi korupsi jabat rendah tgentahlah
"yang dibilang Ustad Felix Benar ""KEADILAN!"", orang kerja di Indonesia sering Overtime, sabtu minggu masih kerja, gak dibayar untuk itu, itu KEADILAN, kita kerja, gaji buat bayar pajak, pajak tinggi, tapi jalan rusak, bayar pungli, transportasi gak nyaman, itu KEADILAN, kerja, gaji buat bayar BPJS, pas ngurus banyak yang ngeluh karena dipersulit, itu KEADILAN, Quality Of Life bakal berjalan dengan baik jika sistem keadilan Negara berjalan dengan seadil adilnya, ""KEADILAN BAGI SELURUH RAKYAT INDONESIA"".",bilang ustad felix adil orang kerja indonesia overtime sabtu minggu kerja bayar adil kerja gaji bayar pajak pajak jalan rusak bayar pungli transportasi nyaman adil kerja gaji bayar bpjs pas urus ngeluh sulit adil quality life jalan sistem adil negara jalan adil adil adil rakyat indonesia
Yg mau kabur itu org yg gak puas,kabur orang puas
"Banyak anak para pejabat malah sekolah di luar negeri,malah ngata2in yang jadi TKI ga nasionalis..tulul😂😂",anak jabat sekolah negerimalah mengataingatai tki nasionalistululwajahgembiraberuraiairmatawajahgembiraberuraiairmata
"Bang Raymond Chin, mohon ijin berpendapat.. saya ada baca berita / nonton media ttg demo mahasiswa ""Indonesia Gelap"" yg dituding sbgai ""mahasewa"" Dan anehnya, banyak dr komen tsb yg mengalihkan ke soal ""kok ga demo ttg UU Perampasan Aset"" Ini SANGAT MIRIP dgn kondisi saat demo Pilkada tahun lalu (ingat kan bang).  Ada lg channel yg komen2ny nyindir mahasiswa krna demo UKT naik, padahal kan demo mahasiswa ""Indonesia Gelap"" itu bukan hanya ttg UKT, tp keseluruhan ada macam2 (kalau tidak salah ada berbagai tuntutan utk pemerintahan) misal ketidakadilan, evaluasi MBG, hingga reformasi kepolisian. Intinya.. dan ga sedikit jg ""oknum netizen"" yg berbalik seolah ""menyerang"" mahasiswa dan ""mendukung"" pemerintah (bisa dibilang mirip2 Bu_ _ _ r lah bang).  Intinya, hal-hal itu adalah keresahan saya saat ini setelah lihat berita berbagai channel youtube dan media lain 😢  Makasih sblmnya 🙏",raymond chin mohon ijin baca berita tonton media demo mahasiswa indonesia gelap tuding mahasewa aneh komen alih demo u ampas aset kondisi demo pilkada channel komenny sindir mahasiswa demo ukt demo mahasiswa indonesia gelap ukt macammacam salah tuntut perintah ketidakadilan evaluasi mbak reformasi polisi inti oknum netizen olah serang mahasiswa dukung perintah bilang bu r inti halhal resah lihat berita channel youtube media wajahmenangis terima kasih melipattangan
Faktanya negara d jajah koruptor...pengadilan membunuh rakyat kecil..invastor asing kabur..gabung Brics tujuan auto maju..mlh terjebak politik china...utang negara menumpuk..pemerintah gagal gagal total..mlh menetupi dgn cerita2 hebat mendunia...indonesia gelap menuju gelita....,fakta negara jajah koruptorpengadilan bunuh rakyat kecilinvastor asing kaburgabung brics tuju auto majumalah jebak politik chinautang negara menumpukpemerintah gagal gagal totalmalah menetupi cerita hebat menduniaindonesia gelap tuju gelita
"Secara pribadi, sy mendukung, orng Indo ke luar negri untuk bekerja. Sebagai peneliti, tenaga ahli apapun, pedagang, pendidik, militer, dll. sedapat mungkin jng mnjd pembantu ya. Dengan keluar, mereka kirim uang ke ind. mereka yg keluarnegri, menjadi sumber devisa negara. rupiah nilainya menjadi naik. Beban negara berkurang (beban kesehatan, beban beasiswa, beban pendidikan dasar, dll). Jika dikatakan orng pandai akan lbh berguna memajukan negara, itu bulsyit. Kenyataannya, orng orng pandai nilainya rendah. dibayar rendah oleh negara. Pembuat kebijakan tdk sesuai keahliannya. orng orng kreatif tdk dihargai. pembuat penyembuh kanker tdk divasilitasi negara, pembuat mobil listrik tdk difasilitasi negara, pembaut motor dengan tenaga air tdk difasilitasi negara. Negara sibuk menggagalkan mereka. Jika punya kemampuan kerja di luar negri... Pergilah",pribadi dukung orang indonesia negeri kerja teliti tenaga ahli dagang didik militer dl mnjd bantu kirim uang ind keluarnegri sumber devisa negara rupiah nilai beban negara beban sehat beban beasiswa beban didik dasar dl orang pandai maju negara bulsyit nyata orang orang pandai nilai rendah bayar rendah negara bijak sesuai ahli orang orang kreatif harga sembuh kanker divasilitasi negara mobil listrik fasilitas negara baut motor tenaga air fasilitas negara negara sibuk gagal kerja negeri pergi
"Sayangnya di masyarakat skrng baik yang muda dan yang tua ga ada yang bener² mau melek tentang politik dan kelangsungan hidup bernegara,",sayang masyarakat muda tua benarbenar melek politik langsung hidup negara
"Pembahasan yg amat sangat ber daging nih,  bikin jadi melek politik..   ditunggu di edisi Ramadhan ..",bahas ber daging bikin melek politik tunggu edisi ramadhan
Gw jga pengen kabur bang 😂,gue pengin kabur wajahgembiraberuraiairmata
"Terkadang kita melihat negara komunis itu negara kejam tetapi negara komunis bisa membuat rakyat nya hebat, maju dan sejahtera.  Kenapa negara kita sendiri yang membuat keadilan yang tidak ada di negara ini. Rakyat terlantar sulit mencari kehidupan. Mungkin karena agama rakyat menjadi kuat menjalani hidup..",terkadang lihat negara komunis negara kejam negara komunis rakyat hebat maju sejahtera negara adil negara rakyat lantar sulit cari hidup agama rakyat kuat jalan hidup
Kabur aja dlu itu adalah kerja aja dlu di luar negeri setelah ada modal balik lagi ke Indonesia membuka usaha dan membuka lapangan pekerjaan,kabur kerja negeri modal indonesia buka usaha buka lapang kerja
Orang yg gak ada opsi buat KABUR AJA.yg hanya punya penghasilan hanya untuk makan sehari-hari ☝☝☝,orang opsi kabur sajayang hasil makan seharihari
soal kabur saja dulu daya sejak lulusan SMP tidak sekolah lagi sudah kabur dari indonesia.cari kerja di luar negri.so kata kata kabur aja dulu saat ini lagi boming.hanya sebuah isu untuk mengganggu pemerintah bekerja.di tambah lagi demo maha siswa menurut saya sangat tidak jelas.yaah saya anggap sampah.pakaian seragama anak pendidikan.tapi otak nya kosong.dan saya tegaskan lagi saya sangat mendukung progaram pemimpianan pa parabowo.jelas membrantas korupsi makan bergisi program hilirisasi industrial.sumberdaya alam.prlarangan exsport bahan mentah.progam raksasa danantara.bahkan mengalahkan malaysia dana yang di kumpulkan nanti.itu kan progam.sangat bagus.nah pertanyaan saya kemarin ada hakim memfonis hukuman ringan.ko ga ada demo.pemerintah berencana menyita aset korupsi tapi di persulit dpr.ko ga ada demo.progam penghematan dana pemangkasan dana sudah jelas merugikan masarakat ko malah di demo.kan sudah di jelaskan.sama.pemerintah yang di pangkas itu uang seharusnya hanya membutuhkan dana efesien tidak perlu habur hamburkan uwang tidak jelas.kan.sudah jelas progam prabowo.ko.di demo.kan.aneh so saya memperkirakan jika pemerintah mengganggu kepentingan asing di negara indonesia bakal ada kerusuhan demo di mana mana karna.bobroknya moral bangsa indonesia mudah di suap nasi bungkus untuk membuat onar.siapa pun presiden nya sampai kiyamat.bakal ada huru hara kecuali masarakat sendiri membenahi diri moral nya.,kabur daya lulus sekolah kabur indonesiacari kerja kabur bominghanya buah isu ganggu perintah bekerjadi demo maha siswa jelasya anggap sampahpakaian seragama anak pendidikantapi otak kosongdan dukung progaram pemimpianan parabowojelas membrantas korupsi makan bergisi program hilir industrialsumberdaya alamprlarangan exsport bahan mentahprogam raksasa danantarabahkan kalah malaysia dana kumpul nantiitu progamsangat bagusnah kemarin hakim fon hukum ringankok demopemerintah rencana sita aset korupsi sulit dprkok demoprogam hemat dana mangkas dana rugi masarakat demo jelaskansamapemerintah pangkas uang butuh dana efesien habur hambur uwang jelaskansudah progam prabowokokdi demokananeh sok perintah ganggu asing negara indonesia rusuh demo karenabobroknya moral bangsa indonesia mudah suap nasi bungkus onarsiapa presiden kiyamatbakal huru hara kecuali masarakat benah moral
"Jangan kabur, nenek moyang dara pejuang negeri tercinta ini, mempertahakan dengan,  nyawa, darah, dan air mata, tetap di sini optimis kira sama2 membawa negeri ini jauh lebih adil, dan sejahterah merata, INGAT klo kalian kabur kalian telah meghianati hasil jerih payah para pejuang tanah air,  ketika anda kabur maka negeri ini di isi dengan para orang yg tidak mengerti, untuk apa negeri tercinta ini didirikan dari hasil penyatuan dari raja2, pulau2, suku2, dan ragam agama yg harmonis. Bgiru anda ramai2 kabur, dengan tidak langsung kamu telah menjadikan negeri ini terpecah pecah dan lemah, dan kalian telah meninggalkan saudra2 kalian yang lemah di kond yang sangat, tidak berkeadilan.",kabur nenek moyang dara juang negeri cinta tahak nyawa darah air mata optimis samasama bawa negeri adil sejahterah kabur meghianati hasil jerih payah juang tanah air kabur negeri isi orang erti negeri cinta hasil raja pulau suku ragam agama harmonis bgiru ramai kabur langsung negeri pecah pecah lemah tinggal saudra lemah kond adil
"Prabowo aja pernah ""kabur"" ke Yordania",prabowo kabur yordania
Hehehe kabur kabur tapi ingat indo cuma satu ga ada gantinya xari kemana pu  juga😅,hehehe kabur kabur indonesia ganti xari jugawajahtersenyumlebardanberkeringat
"satu kesimpulan dari saya, sampai kiamat pun indonesia gk akan pernah maju jika pemerintah dan masyarakat nya hanya mementingkan diri sendiri !",simpul kiamat indonesia maju perintah masyarakat
"Ga nasionalis ?? Di negara sendiri tidak aman, tidak ada lowongan pekerjaan untuk warga, tidak ada kerjaan yg layak, terlebih nanti prusahaan di perstujui memperkerjakan Robot.. Bayangkan udah banyak yg nganggur di tampah sistem memperkerjakan  Robot yg mau di adops. Mau semua rakyat ga kerja ? Gimana..  Pemerintahan ajah, memojokan Rakyat katanya Cinta Rakyat...",nasionalis negara aman lowong kerja warga kerja layak prusahaan perstujui kerja robot bayang nganggur tampah sistem kerja robot adops rakyat kerja perintah pojok rakyat cinta rakyat
"Kalian pada ngomongin kaburajadulu trus2an, coba liat dong cerita bajindul vlog, Dan kbanyakan org yg berkarir diluar negeri pasti ampe tua disana ga akan balik",omong kaburajadulu trusan coba lihat cerita bajindul vlog kbanyakan orang berkarir negeri tua
harus kabur dulu. siapa tau nanti balik jadi pejabat😂,kabur pejabatwajahgembiraberuraiairmata
Saya setuju dg pendspst koko felik shio,tuju pendspst koko felik shio
Fix.pantesan bujangku ga mau kuliah di sini...paruh 2024 lalu dah kabur ke LN😅,fixpantesan bujang kuliah siniparuh deh kabur lnwajahtersenyumlebardanberkeringat
"Suami lu selingkuh, ga nafkahin, morotin harta ortu lu, kdrt Giliran lu mau kabur Dia komen ""lu bukan istri yang baek""  Ya gitu deh",suami selingkuh nafkah morotin harta orang tua kdrt gilir kabur komen istri deh
Kamu bisa mencintai negaramu tanpa harus menyukai pemerintah,cinta negara suka perintah
"Nasionalisme akan tumbuh sendiri jika rakyat merasa Aman, Adil & Sejahtera... Krn musuh kita adalah saudara kita sendiri yg tidak berakhlak ( Korupsi, Rasisme / SARA, Manipulatif, Anarkis, Devide De Empira & Anti Nasionalisme ) .... bukan bangsa Asing atau Aseng ... Kl Nasionalisme bangsa kita tinggi, kita tdk bs dibeli oleh siapapun !!!",nasionalisme tumbuh rakyat aman adil sejahtera musuh saudara akhlak korupsi rasisme sara manipulatif anarkis devide deh empira anti nasionalisme bangsa asing aseng nasionalisme bangsa beli
"Kalau cinta orang yang lagi sakit apa kita malah kabur atau coba bantu sembuhkan? Kalau beneran cinta negara yang sakit, apa kabur bisa sembuhkan negara kita?",cinta orang sakit kabur coba bantu sembuh cinta negara sakit kabur sembuh negara
"Bagi yang memilih ""kabur aja dulu"": Manfaatkan peluang di luar negeri untuk belajar dan berkembang. Jangan lupa untuk tetap terhubung dengan Indonesia dan mencari cara untuk berkontribusi, meski dari jauh.    Bagi yang memilih ""misuh aja dulu"": Teruslah mengkritik dan memperjuangkan perubahan, tetapi juga fokus pada solusi dan aksi nyata. Bangun jaringan dan kolaborasi untuk menciptakan dampak positif.",pilih kabur manfaat peluang negeri ajar kembang lupa hubung indonesia cari kontribusi pilih misuh kritik juang ubah fokus solusi aksi nyata bangun jaring kolaborasi cipta dampak positif
Aku jadi guru paud (TK dan KB) SDH 18tahun dapat tunjangan/ bayaran dari pemerintah 150rb/BLN...ilmu yg diberikan pada pendidikan paud yi ilmu pondasi..,guru paud kb tunjang bayar perintah rbbulanilmu didik paud yi ilmu pondasi
Kepercayaan itu sulit di bangun bila ke tidak jujur an alias hobi nge prenk di miliki oleh pejabat2 terutama eksekutip kehakiman dan kepolisian..,percaya sulit bangun jujur alias hobi nge prenk milik jabat utama eksekutip hakim polisi
"Efek semua negara hancur karena ulah globalis, dan presiden yang dipilih pun besert para pejabatnya harus disetujui ameriki, kalau ameriki ga setuju maka akan secepatnya digoyang, silahkan lihat buktinya ke Pak Soeharto, Habibie dan sekarang bisa jadi Prabowo klo dia benar ketika membela rakyat !   Coba DEH bahas JUGA lebih dalam atas segala kerusakan dan planning apa yang sudah dilakukan globalis sejak lama, sejak negara ini belum merdeka ?   #lawanglobalis #sadarajadulu",efek negara hancur ulah global presiden pilih besert jabat tuju ameriki ameriki tuju cepat goyang sila lihat bukti soeharto habibie prabowo bela rakyat coba deh bahas rusa planning laku global negara merdeka lawanglobalis sadarajadulu
"Aku dah bilang ke anak ku yang SMA, persiapkan diri kamu utk kerja d luar negeri nanti.  Kira2 aku bakal d cap apa nih ama pak menteri😅",deh bilang anak ku kerja negeri kirakira cap menteriwajahtersenyumlebardanberkeringat
"saya tetep stay di indonesia karna punya visi untuk membalikkan dunia pendidikan, juga punya keinginan kabur aja dulu ke finlandia untuk sekolah dengan tujuan meneliti sistem pendidikan yg sangat baik untuk diterapkan di indonesia, tapi sayangnya saya tak punya power dan tak tahu harus bagaimana untuk masuk dan bisa memporakporandakan pendidikan di indonesia kemudian ngebangun ulang, padahal dalam kepala ku begitu besar sistem pendidikan yg jauh lebih baik daripada yg sekarang.. jadi tetep stay namun tak kuasa membuat perubahan",stay indonesia visi dunia didik kabur finlandia sekolah tuju teliti sistem didik terap indonesia sayang power masuk memporakporandakan didik indonesia ngebangun ulang kepala ku sistem didik stay kuasa ubah
"yang kabur juga bisa berdampak buat indonesia dalam bentuk kasih uang/kehidupan yang layak buat keluarga di indonesia. Atas uang tersebut juga akan dikenakan pajak di indonesia, belanja kena pajak, makan kena pajak.",kabur dampak indonesia bentuk kasih uangkehidupan layak keluarga indonesia uang kena pajak indonesia belanja kena pajak makan kena pajak
"Jgn berani Kabur ke Msia, sini hari² Ops Bersepadu JIM, PBT dll giat tangkap PATI. https://youtu.be/6QIWLs8gIRA",berani kabur msia harihari ops padu jim pbt dl giat tangkap pati
"kabur aja dulu : disaat kabur pergi, disaat itulan ""mereka"" ambil alih daerah tanah kelahiran kalian...... hati2 propaganda",kabur kabur pergi itulan ambil alih daerah tanah lahir hatihati propaganda
"Sedangkan PEJABAT jika sakit selalu keluarnegeri berarti SIPEJABAT adalah yg paling gak NASIONALIS, bagi rakyat kecil KABUR masih memberikan pajak buat negara, tetapi jika pejabat berobet keluar negri, negara dapar apa. Itu bahlallal memang bahlullul",jabat sakit keluarnegeri arti sipejabat nasionalis rakyat kabur pajak negara jabat berobet negeri negara dapar bahlallal bahlullul
"Sadarlah wahai pemerintah, kami yang berupaya mencari pekerjaan diluar negeri karena kami sangat sulit dapat pekerjaan di tanah konoha ini, negeri sulittt😤😤😤😤😤😤",sadar perintah upaya cari kerja negeri sulit kerja tanah konoha negeri sulitwajahbersungguhsungguhwajahbersungguhsungguhwajahbersungguhsungguhwajahbersungguhsungguhwajahbersungguhsungguhwajahbersungguhsungguh
Ga rakyat ga pmerinh kbnykn darama biarain mau kbur kbur la itu hak ngapain d umbar kcuali ada kpntian di # kabur,rakyat pmerinh kbnykn darama biarain kbur kbur hak kapai umbar kcuali kpntian kabur
Kalu nak cari masa dapan..kuar kerja kat luar negara dulu..bila dah banyak wang pulang hidup anda senang bila tua nnti..hidup x susah..kerja gaji cukup2 mkan je,nak cari dapankuar kerja kat negara dulubila deh wang pulang hidup senang tua nantihidup kali susahkerja gaji mkan je
"Bukan suruh kamu meninggal NKRI,Bukan diindonesia nggak bisa makankan,tapi keluar negeri nambah pengalaman😁",suruh tinggal nkribukan indonesia makankantapi negeri pengalamanwajahgembiradenganmatabahagia
"Kabur aja dulu ke Kamboja, myanmar, laos nangis lo",kabur kamboja myanmar laos menang
"Lapangan pekerjaan sebenarnya banyak di indonesia tapi gaji yg didapatkan per bulan atau per hari nya adalah lebih kecil daripada  pengeluaran yg dikeluarkan belum lagi pembatasan maksimal umur maka timbul lah rasa khawatir dan cemas  Pengusaha indonesia dan banyak orang indonesia ingin membuka usaha dan membuka lapangan pekerjaan sebanyak2 nya tapi tantangan muncul ketika ada Ormas dan LSM dan Premanisme menjadi penyakit saat mengintimidasi untuk setoran ke kelompok mereka (tercipta lah rasa tidak aman) lalu dimanakah peran aparat kepolisian dan hukum?  Bagi masyarakat yg sadar ekonomi, Banyak yg mengurungkan niat untuk menikah dan memiliki anak Celakanya justru kebanyakan masyarakat miskin atau yg tidak sadar ekonomi malah beranak nya kebablasan sehingga menambah masyarakat miskin yg baru  Belum lagi budaya korupsi, suap, kkn yg sudah mendarah daging mau itu dikalangan pejabat, instasi pemerintahan, bahkan masyarakat sekalipun  Yg dibutuhkan adalah PRESIDEN yang BERANI, BERANI MEMPERBAIKI SISTEM YANG SELAMA INI SUDAH RUSAK!!!  Jika Pak Prabowo berhasil melakukan itu, maka dia akan menjadi pengingat bagi generasi ini, generasi selanjutnya dan generasi seterusnya  Salam Waras",lapang kerja indonesia gaji batas maksimal umur timbul khawatir cemas usaha indonesia orang indonesia buka usaha buka lapang kerja tantang muncul ormas lsm preman sakit intimidasi setor kelompok cipta aman peran aparat polisi hukum masyarakat sadar ekonomi urung niat meni milik anak celaka masyarakat miskin sadar ekonomi anak bablas masyarakat miskin budaya korupsi suap kkn darah daging kalang jabat instasi perintah masyarakat butuh presiden berani berani sistem rusak prabowo hasil laku generasi generasi generasi salam waras
"Kalo masi muda bukan anak orang Kaya, atau anak pejabat,, terus kerjaan ga jelas,, mending keluar negeri",muda anak orang kayak anak jabat kerja mending negeri
"Data biaya hidup rata2 itu data dari mana min ? Biaya hidup rata - rata 2.5 juta dari mana data nya ? Kalau bps, ya ga valid bro. Mungkin mimin hitung tiap hari makan mie instant kali ya.",data biaya hidup ratarata data min biaya hidup juta data bps valid admin hitung makan mie instant kali
"Pertanyaannya adalah keluar negeri tidak segampang itu, kalau ada yg tau caranya proses seminggu langsung berangkat saya mau Saya yg proses kerja ke korea udah setahun lebih kontrak kerja gak turun turun dan belum berangkat",negeri gampang proses minggu langsung berangkat proses kerja korea kontrak kerja turun turun berangkat
"Serba salah kalo disini Jadi karyawan gaji gitu gitu aja gak sebanding dengan inflasi Jadi pengusaha di palakin sama 99% ""oknum"" Belum lagi di potong pajak dkk",serba salah karyawan gaji banding inflasi usaha palakin oknum potong pajak dk
"pernah liat postingan kerja di luar negeri gak gampang bertahan hidup gaji 60 jt sebulan, kirim 20jt, ke ortu, sisanya buat bertahan hidup pertanyaannya adalah: gaji 5 juta sebulan bisa gak ngirim 20 juta ke ortu setiap bulan?",lihat postingan kerja negeri gampang tahan hidup gaji juta kirim jt orang tua sisa tahan hidup gaji juta kirim juta orang tua
"Kalau nasionalisme ada kenapa ada pejabat korupsi, kenapa yang tidak nasionalis menang? Berapa lama lagi harus menunggu? Kenapa yang melihat keluar dibilang tidak nasionalis? Apakah anda ketakutan...?",nasionalisme jabat korupsi nasionalis menang tunggu lihat bilang nasionalis takut
