Teks_Komentar,teks_final,sentiment
"DiMalaysiayg diutamakan skill ngak kira umur, semakin tinggi skill anda semakin tinggi gaji yang dapat tentu berbeda negara maju dgn negara baru membangun",dimalaysiayg utama skill tidak umur skill gaji beda negara maju negara bangun,Positif
"Saya hampir 38 tahun di Malaysia hidup sederhana dan berkeadilan, sekarang masih WNI, ingin berkarya di Indonesia tetapi belum saatnya, jika presiden  bisa memberi kemajuan, kemakmuran & berkeadilan pada raknyat saya kembali ke Tanah Tumpah Darahku.",malaysia hidup sederhana adil wni karya indonesia tidak presiden maju makmur adil raknyat tanah tumpah darah,Positif
"Kebebasan brpendapat yg mmbuat indo susah maju,,contoh singapura,rusia,china,media dan msyrktnya dbatasi negara nya jd maju..org indo gmpang diadudomba trutama p jawa",bebas brpendapat mmbuat indo susah maju contoh singapura rusia china media msyrktnya dbatasi negara maju org indo gmpang diadudomba utama jawa,Positif
2 orang yang sangat mencintai  negara ini....❤,orang cinta negara,Netral
"Aku ngerasa apa cuma d Indo aj ga sih yg apa2 he oh jd headline,dulu turki pun bnyak penganggurannya bnyak jg dr mereka yg krja k German tp sprtinya sprtinya ga Seheboh Kita deh   Aq jg ngerasa sedih sih,ank q yg Besar sudah mau masuk kuliah ad dr temannya ga mau skolah milih mau k Japan untuk krja 😢",indo tidak headline turki anggur kerja german tidak heboh sedih ank masuk kuliah ada teman tidak sekolah milih japan kerja,Positif
nanti kalian akan tahu kenapa dulu semua ingin berpisah dari negara ini,pisah negara,Positif
MashaAllah pembahasannya keren banget!! Ini juga tamparan buat kita semua jangan mau dibodoh-bodohin sama pemerintah lagi ayoo belajar sebanyak-banyaknya biar pintar~ Bukannya dengan kemudahan yang ada harusnya kita makin semangat buat pintar!!,mashaallah bahas keren banget tampar tidak bodoh bodohin pemerintah ayoo ajar pintar bukan mudah ada semangat pintar,Positif
Harusnya survey kepuasan kepada pemerintah itu 120%,survey puas pemerintah,Positif
"saya nganggur sejak korona, gak tau lagi gimana nyari krja di Indonesia. uang udah habis buat bayar polisi bikin skck dll.. tolong sayaaaa",nganggur korona tidak gimana nyari kerja indonesia uang habis bayar polisi bikin skck dll tolong sayaaaa,Positif
Aku benar muak lihat pemerintah ini perjuangan apa yg harus dilakukan lg dah mati matian sdh juara satu pun tidak juga membuat dia melek tetap kelompokbya yg menang sedih Siapa ya yg akan mempwrjyangkan anak cucu kita terutama kita yg menengah ini Kalau Felik dan Remon ber bicara aku suka cara pandangnya,muak lihat pemerintah juang laku mati mati mati juara tidak melek kelompokbya menang sedih mempwrjyangkan anak cucu utama felik remon ber bicara suka pandang,Positif
Pembahasan rumit...namun 1 hal yang di pemikiran gw...nsgara ini punya ekonomi...ekonomi maju...maka akan dirasakan mudah bagi rakyat nya untuk bergerak...negara ini sudah sulit berkembang...analisa pribadi gw...adalah perputaran uang di Indonesia sudah tidak sehat...memang ada digital sekarang...namun bukan kah uang akan selalu ada wujud nya...bagaimana ekonomi bisa maju dan berkembang...jika banyak pejabat dan orang2 beruntung yang masih menyimpan uang dalam bentuk nya diberangkas mereka???...begitu banyak nominal yang stuck dan tak bisa membantu ekonomi negara ini???...untuk kultur sosial...memang nampaknya ada gerakkan untuk membuat rakyat kita memang digaris bawah...agar mereka sulit bergerak...dan paham kan watak manusia???...jika sudah kepepet...penjahat datang pun...jika mampu memberikan solusi singkat...akan dianggap pahlawan...dan mereka rela berjuang demi kepentingan penjahat tersebut???,bahas rumit pikir nsgara ekonomi ekonomi maju mudah rakyat gerak negara sulit kembang analisa pribadi putar uang indonesia tidak sehat ada digital tidak kah uang ada wujud ekonomi maju kembang jabat orang untung simpan uang bentuk diberangkas nominal stuck bantu ekonomi negara kultur sosial nampaknya ada gerak rakyat gar sulit gerak paham watak manusia pepet jahat solusi singkat anggap pahlawan rela juang jahat,Positif
Indonesia darurat pejabat jujur pejabat baik pejabat tanggung jawab. Semua pejabat di indonesia itu rakus egois korup penjahat,indonesia darurat jabat jujur jabat jabat tanggung jabat indonesia rakus egois korup jahat,Positif
"Kabur aja dulu itu bukan jalan terbaik sebagai warga negara Indonesia 😮 ini kan ada masalah di Indonesia, ko malahan kabur 😮 kenapa gak bikin sesuai yang positif dan mengajak orang-orang sekitar untuk berbuat baik untuk mengurangi masalah bangsa dan negara Indonesia 😮",kabur tidak jalan warga negara indonesia ada indonesia kabur tidak bikin sesuai positif ajak orang orang bangsa negara indonesia,Negatif
"penerapan zakat adalah dari ""si kaya untuk si miskin"" dan pajak dari ""rakyat untuk.......""",terap zakat kaya miskin pajak rakyat,Positif
"Di Malaysia ""brain drain"" lebih 2juta kerja di luar negeri...",malaysia brain drain juta kerja luar negeri,Netral
Indonesia sedang tidak baik2 saja,indonesia tidak,Positif
Kalo liat orang pinter ngobrol ya gini enak dengernya dengan pemikiran2 mreka yg membuka pemikiran kita jg dari pada denger debat2 calon pejabat atau pejabat2 d indonesia mereka itu pinternya keblinger kalo org Jawa bilang 😅😅,lihat orang pintar ngobrol gin enak dengar pikir mreka buka pikir dengar debat calon jabat jabat indonesia pinternya keblinger orang jawa bilang,Positif
lebih enak obrolan ini daripada rapat pemerintah,enak obrol rapat pemerintah,Positif
Ya Allah lindungilah mereka-mereka yg speak up ttg kebenaran dan kezaliman. Jauhkanlah dari orang-orang jahat. Aamiin,allah lindung speak zalim orang orang jahat,Positif
keren kohhh!!! Panjang umur perjuangan.. jangan capek untuk memintarkan generasi muda,keren kohhh umur juang tidak capek pintar generasi muda,Netral
"isinya fakta semuaaaa hahahahhaaa, klop banget ustadz felix sama ko raymon! pliss terus collab, dan jangan lelah mencerdaskan ummat ya. baarakallahu fii kunna",isi fakta semuaaaa hahahahhaaa klop banget ustadz felix raymon tolong collab tidak lelah cerdas ummat baarakallahu fii kunna,Positif
"Kita itu sebenernya blum siap untuk mengikuti perubahan jaman, dulu musimnya bekerja di PT atau kantoran sekarang kita, mau ga mau harus jadi pedagang atau pengusaha sendiri  dan klau Masi ingin kerja sama  orang menurut ku solusi nya luar negeri 😔",tidak ubah jaman musim kerja kantor tidak dagang usaha kerja orang solusi luar negeri,Positif
"""jangan takut salah pilih lawan, asalkan senjatanya tepat"" 😮",tidak takut salah pilih lawan senjata,Netral
"Ko, bahas tentang pernyataan Pak Prabowo Subianto yg akan meresmikan Bang emas, beri kita2 edukasi&manfaat Bank emas ko😅",bahas nyata prabowo subianto resmi emas edukasi manfaat bank emas,Netral
"4:10 Digitalisasi surat tanah ini solusi yang baik biar 1 tanah sertifikatnya ga dobel. Misal ternyata ada kasus, memang harus diselesaikan langsung saat itu juga, pasti ada korban memang. Tapi setelah ini jalan, ketidak adilan akan berkurang.",digitalisasi surat tanah solusi tanah sertifikat tidak dobel nyata ada selesai langsung ada korban jalan tidak adil,Negatif
"Kita yang UMKM usaha sendiri,pun makin dipersulit",umkm usaha sulit,Positif
"😂😂😂 sampe famili gw di jerman pas dateng ke indo, doi bisa bisanya komen; ""waoow keren ya disini yg bawa mobil skill nya diatas rata2, bisa gak sampai accident tertabrak atau menabrak nyetir dikeruwetan super ini 😂😂😅😅😅",famili jerman pas indo doi komen waoow keren bawa mobil skill tidak accident tabrak tabrak nyetir ruwet super,Positif
Berantas Koroptor Indonesia pasti makmur Berkah 🤲🤲🤲,berantas koroptor indonesia makmur berkah,Negatif
"Channel ini adalah antara salah satu channel yg sy agak sering nonton walaupun saya dari Malaysia. Pada saya, dialog2 seperti ini sangat bermanfaat untuk membuka mata orang awam tentang satu2 isu supaya berfikir lebih kritis regardless what nationalities they are. Semoga lah ada golongan2 intellectual di Indonesia yg mampu bangkit  dan berjaya melawan kepincangan sistem yg sudah beraja sekian lama.",channel salah channel nonton malaysia dialog manfaat buka mata orang awam isu berfikir kritis regardless nationalities moga ada golong intellectual indonesia bangkit jaya lawan pincang sistem beraja sekian,Negatif
"Prabowo juga kabur ke Yordania, balik lagi ke Indo setelah diajak Megawati comeback ke politik Indonesia. DODOL banget kan...?? itu ada contoh nya Presiden-nya sendiri",prabowo kabur yordania indo ajak megawati comeback politik indonesia dodol banget ada contoh presiden,Netral
"setiap Peradaban memiliki ""Beban""",adab milik beban,Netral
tahun ini liat konten2 di socmed indonesia kaya :   - rakyat punya shm dan taat bayar pajak tapi kebun tanah dan rumah di rebut paksa - anak2 sma ga bisa perkalian tapi di lulusin karena ga boleh ada yang tinggal kelas - budget kesehatan dan pendidikan dipotong - deforestasi gede2an - pajak dinaekin - banyak phk - susah dapet kerja - investor pada menarik diri - anak2 yang pada ga lolos jalur bakat gara2 anak2 titipan  apaaa lagi ini semua Ya Tuhan baru aja awal2 tahun udh berasa desember aja aku yg asalnya pengen tetep di indonesia sampe tua mulai mikir kalo tinggal disini lebih lama kayanya g bakal ada harapan 😢,lihat konten socmed indonesia kaya rakyat shm taat bayar pajak kebun tanah rumah rebut paksa anak sma tidak kali lulusin tidak ada tinggal kelas budget sehat didik potong deforestasi gede pajak dinaekin phk susah kerja investor tarik anak tidak lolos jalur bakat gara anak titip apaaa tuhan asa desember ken indonesia tua mikir tinggal tidak ada harapan,Positif
"Tau nggak tagar kabur aja dulu,by desaign,selain buat pengalihan isyu,test ombak,dan kalo beneran pada ber bondong2 keluar negri semakin mudah oligarki menguasai indonesia",tidak tagar kabur desaign alih isyu test ombak beneran ber bondong negeri mudah oligarki kuasa indonesia,Negatif
"keluar Indonesia yg sbnernya buat pribadi diri sndiri ga ngerugiin org ga nasionalis lebih ga nasionalis mana sama korupsi yg makan kesejahteraan bangsa ini menyangkut bnyak org?, smpe bangsa yg sebesar ini susah maju?😢",indonesia pribadi tidak rugi orang tidak nasionalis tidak nasionalis korupsi makan sejahtera bangsa sangkut org bangsa susah maju,Positif
kabur aja dulu= hijrah= mecari penghidupan layak= dapat diterima kabur aja dulu= pindah warga negara= cemen loe hidup mati darah ini untuk tanah air ini= terlalu indah untuk dilupakan ataupun dihianati,kabur hijrah mecari hidup layak terima kabur pindah warga negara cemen hidup mati darah tanah air indah lupa dihianati,Negatif
Semoga Allah SWT melindungi kalian dari orang2 jahat diluaran sana. Semoga selalu bisa menjadi hamba2 yang menyebarkan kebaikan2 untuk masyarakat2 Indonesia seperti saya dan yang lain. Ditunggu event di bulan Ramadhan ya bang raymond dan ust felix. Saya menyukai konten kalian,moga allah swt lindung orang jahat luar moga hamba sebar masyarakat indonesia tunggu event ramadhan raymond ust felix suka konten,Negatif
sudah saatnya indonesia mengumpulkan 108 Stars of Destiny,indonesia kumpul stars destiny,Negatif
Ko Raymond dan Ust Felix adalah 2 orang hebat di Indonesia diskusi tingkat dewa. Bismillah sukses untuk Ko Raymond dan Ust Felix smoga Indonesia akan makin terang dan baik baik saja.,raymond ust felix orang hebat indonesia diskusi tingkat dewa bismillah sukses raymond ust felix moga indonesia terang,Negatif
kabur saja biar tenang indonesia.....tdk buat gaduh,kabur tenang indonesia tdk gaduh,Negatif
Keluar negeri kerja trus kumpulkan buat beli lahan sawit. Kayak kk ane yg di turki. Semoga tercapai dan sehat terus yh,negeri kerja kumpul beli lahan sawit kakak ane turki moga capai sehat,Positif
"Menit ke 10:25 persis banget apa yg pak Anis Baswedan bilang, dan saya setuju",menit persis banget anis baswedan bilang setuju,Netral
"W ada di posisi pengen kabur tapi udah ngak bisa karena udah nikah, udah punya anak, dan udah 35 tahin😢😢😢 sesedih itu kadang",ada posisi ken kabur tidak nikah anak tahin sedih kadang,Positif
"Yg terjebak di Indonesia ga bisa keluar,, ayo berdo'a semoga diberi kesabaran dan rejeki yg banyak",jebak indonesia tidak ayo berdo moga sabar rejeki,Positif
"Pengen keluar dari Konoha tapi gabisa bahasa asing, tapi gatahan sama kebijakan dan kaum elit yang  gabisa disentuh hukum wkwk 🤣 kalo kena sentuh asal berkelakuan baik dapet remisi penahanan ihiwww",ken konoha tidak bahasa asing gatahan bijak kaum elit tidak sentuh hukum kena sentuh laku remisi tahan ihiwww,Positif
Lha yang bikin ..amburadul ya mentalnya  mau kabur...itu. Wong peraturannya dah ada kok,lha bikin amburadul mental kabur atur ada,Negatif
"ga tau lagi cara ngungkapin kekecewaan masyarakat terhadap pemerintah, intinya sekarang jijik",tidak ngungkapin kecewa masyarakat hadap pemerintah inti jijik,Positif
Kabur aja berdua lu cocok ke Yaman atau Turki boleh trus ngoceh dah di sana wkwkwkw coba gimana mau liat..,kabur cocok yaman turki oceh hahaha coba gimana liat,Negatif
Betul.waktunya Raymond yg koordinir  terutama yg mau kabur tp g bisa krna keterbatasan 👍,raymond koordinir utama kabur tidak batas,Positif
"Tki atau tkw termasuk kabur aja dulu gak si..?  Secara merekaa kluar dri indonesia dlm waktu yg cukup lama,, klo iya termasuk berrti fenomena ini sudah terjadi sejak jaman dulu,,  Dan apakah nabi mohamad ketika melakukan hijrah apakah itu visa di sebut kabur aja dulu..?",tki tkw masuk kabur tidak merekaa indonesia iya masuk berrti fenomena jaman nabi mohamad laku hijrah visa kabur,Netral
"negara sedang ngga sehat, sehingga orang yang berbeda kepercayaan bisa punya satu common enemy. keren banget",negara tidak sehat orang beda percaya common enemy keren banget,Positif
"saya setuju pendapat ustad felix ,, tpi menurutku ustad felix ini lbh baik dakwah aja,jangan digabungkan dgn politik. karena dakwahnya ustad felix bisa bikin orang semangat dan mau berpikir maju. kalo sdh bicara ranah politik dll,takutnya kepancing dgn info2 yg kurang jelas.",setuju ustad felix ustad felix dakwah aja tidak gabung politik dakwah ustad felix bikin orang semangat pikir maju bicara ranah politik dll takut pancing info jelas,Netral
Kepastian hukum yg ga jelas di negara ini.,hukum tidak jelas negara,Positif
"Betul men, negara ini keadilan sangat kureng, mending bagi bagi aja wilayahnya",men negara adil reng mending wilayah,Positif
"Aku pernah dimaki Seseorang thn lalu ketika Komen soal Org2 yg pindah ke LN, jauh sblm skrg viral PINDAH AJA DULU. Aku disitu Komen iya Aku jg dah mau pindah ke Eropa ikut suami, disitu ada Seseorang blg Aku ga nasionalis. Aku rasa Org tsb adalah Org yg sama yg ngmg Soal kehilangan nasionalisme saat ini...😂😂😂😂",maki orang komen org pindah belum viral pindah situ komen iya pindah eropa suami situ ada orang bilang tidak nasionalis orang orang ngmg hilang nasionalisme,Positif
"Survey abal2..  Kalau pemerintah mabuk dengan survey, maka tidak perlu kerja. Cukup bayar survey dan media untuk menggiring opini publik. Biar keliatan masyarakat puas dengan kerja pemerintah 😅",survey abal pemerintah mabuk survey tidak kerja bayar survey media giring opini publik liat masyarakat puas kerja pemerintah,Positif
"Aku se7 dgn pendapat ustad felix tentang dikembalikan nya keadilan terlebih dahulu. Kenapa? Saya udah tinggal di Swiss +-5 tahunan, pajak tinggi 40-50%, cost living paling tinggi di dunia yg di mana kalo itu dilakuin di negara yg salah (trust me) 80% penduduknya adalah masyarakat miskin, jobless, dll. Nah, kalo ditanya enak tinggal di mana Swiss atau Indonesia aku bakal jawab dengan lantang ""Indonesia"", why? Jangan tanya kenapa terlalu banyak faktor yg bikin aku ga bisa lepas dari Indonesia. Tetapi kalo aku kembali ke Indonesia dan meninggalkan apa yg sudah saya miliki di Swiss, apakah Indonesia akan menjamin kesejahteraan saya seperti di Swiss? Saya ga peduli income saya lebih sedikit  asalkan uang saya digunakan dengan baik, seperti pendidikan, kesehatan, pemerataan bangunan, jalan-jalan, dll. Temen"" saya yang di Swiss dan di negara Eropa lainnya 80% berpikiran sama seperti saya, kami rela meninggalkan income puluhan bahkan ada yg sampai ratusan juta per bulan demi balik ke Indonesia tapi Indonesia bisa menjamin apa terhadap keluarga kami nanti?",ustad felix adil tinggal swiss pajak cost living dunia dilakuin negara salah trust duduk masyarakat miskin jobless dll enak tinggal swiss indonesia lantang indonesia tidak faktor bikin tidak lepas indonesia indonesia tinggal milik swiss indonesia jamin sejahtera swiss tidak peduli income uang didik sehat perata bangun jalan jalan dll temen swiss negara eropa pikir rela tinggal income puluh ada ratus juta indonesia indonesia jamin hadap keluarga,Positif
"Ga ikhlas aja bang, kalau bayar pajak tinggi ,hasilnya yang diterima rakyat  tdk seperti diharapkan,  fasilitas umum semrawut ,amburadul.",tidak ikhlas bayar pajak hasil terima rakyat tidak harap fasilitas semrawut amburadul,Positif
"Inspiring. This is exactly my mindset setelah kerja dijepang selama 3 tahun. Rasa rindu tanah air tidak pernah hilang dan sekarang berniat kontribusi untuk negara tercintaku dengan apa yang sudah saya dapat (skills). Kabur aja dulu but Dream bigger, contribute to your community where you were born and raised.",inspiring exactly mindset kerja dijepang rindu tanah air tidak hilang niat kontribusi negara cinta skills kabur dream bigger contribute community born raised,Negatif
"indonesia gelap kalau malam hari, kalau siang terang benderang!",indonesia gelap malam siang terang benderang,Netral
"In syaa Allah, Allah dan Rasul-Nya beserta orang-orang mukmin akan menolong.  Ciptakan generasi lebih baik untuk masa depan, untuk kebangkitan islam dan Indonesia. In syaa Allah siap berjuang di Gotham 🙏😅👍💪",allah allah rasul orang orang mukmin tolong cipta generasi bangkit islam indonesia allah juang gotham,Negatif
"Semua pembahasan ini hanya akan jadi omong kosong semata ketika penguasa  di ngeri ini tdk memberikan respon ataupun tindakan secara kolektif dalam artian tindakan yg nyata terhadap masalah yg terjadi di negara kita. Karena diskusi seperti ini termasuk dalam bagian demonstrasi juga, walaupun tdk melakukan tindakan anarkis.",bahas omong kosong kuasa ngeri tidak respon tindak kolektif arti tindak nyata hadap negara diskusi masuk demonstrasi tidak laku tindak anarkis,Positif
"Pengalaman pahit di indonesia kerja gempor gempor, bekerja utk mendaki karir dan skill, cm dipatahkan dengan komen ibu2 org lama (dan masuk krn org dalem) dikantor ""cina putih tinggal ngangk4ng jg cepet lah naik posisi"", tepat pas aku naik kedudukan. The next thing i know, i vowed to escape indonesia, and here i am. Pas sampe di LN kaget, tabungan krja 5 tahun (bukan sandwich gen), itu lebih rendah drpd gaji sebulan di LN. Itupun aku masuk dgn gaji setara freshgrad lebih dkit. Mantap. Pulang pergi kerja sama2 naik bus ke kantor, di indo buset udah umpek2an bau, digodain orang, kecopetan, macet ga sampe2. Disini kerjanya serius gaji nya becanda. Lagi demo besar2an dipaksa ngantor, cwe muka chinese disuruh nerjang orang demo apa gak bahaya? Kantor ga mau tau. AKu jawab ke hrd, kalo aku dijalan mati diculik ato lain2, selain ""turut berduka cita"" ibu bisa kasih apa ke keluarga saya? MINGKEM!!!",alam pahit indonesia kerja gempor gempor kerja daki karir skill patah komen orang masuk orang dalem kantor cina putih tinggal ngangk cepat posisi pas duduk next thing know vowed escape indonesia pas luar negeri kaget tabung kerja tidak sandwich gen rendah gaji masuk gaji tara freshgrad dkit mantap pulang pergi kerja bus kantor indo buset umpek bau digodain orang copet macet tidak sampe kerja serius gaji becanda demo paksa ngantor cwe muka chinese suruh nerjang orang demo tidak bahaya kantor tidak hrd jalan mati culik duka cita kasih keluarga mingkem,Positif
"Indonesia butuh ""Uchiha Itachi"",buat ngebantai para koruptor",indonesia butuh uchiha itachi ngebantai koruptor,Positif
"K Ray, saya siap kabur aja dulu tapi tidak tahu bagaimana caranya",ray kabur tidak,Positif
"Mantapp...makin akhir video makin meruncing....tentu ust felix udah tau apa yg dimaksud ""weapon"" itu....tinggal lihat di onepiece...semua pola dan step2 nya sudah di berikan oda sensei...mantap...relate bangt ONE PIECE dengan jaman sekarang....",mantapp video runcing ust felix maksud weapon tinggal lihat onepiece pola step ikan oda sensei mantap relate bangt one piece jaman,Netral
felix x raymond for indonesia 2026,felix raymond indonesia,Negatif
Ini orang mau berjuang mati matian. Kita juga harus ikutan berjuang. Demi masa depan generasi berikutnya. Malu kalau kita mewarisi kemiskinan.,orang juang mati mati juang generasi malu waris miskin,Negatif
Kabur saja dulu merupakan propaganda politik oleh pemerintah lebih tepat nya perbudakan yang di lakukan pemerintah untuk devisa negara bayangkan ke untungan negara untuk memperkuat rupiah ada 9 juta pmi kalau tiap bulan kirim 1 juta ke indo berarti 12 juta tiap tahun kalikan 9 juta x 12 juta berapa ratus triliun devisa negara,kabur rupa propaganda politik pemerintah budak laku pemerintah devisa negara bayang untung negara kuat rupiah ada juta pmi kirim juta indo arti juta kali juta juta ratus triliun devisa negara,Negatif
"5:00 Indonesia itu jangan Nasionalis, Indonesia itu Harus Patriotis seperti America 🇺🇸🇮🇩 Inshaa Allah Amin 🙏",indonesia tidak nasionalis indonesia patriot america inshaa allah,Negatif
"Kli ini ustad felix ga bener² mewakili pikiran org indonedia, boro² bolak balik keluar negri, nyari kerja aja susah, mau usaha ga ada permodalan, intinya nyari kerja dipersulit hidup makin sulit, kali ini ustadz felix ga relate sm yg dirasain org",kli ustad felix tidak bener wakil pikir orang indonedia boro bolak negri nyari kerja susah usaha tidak ada modal inti nyari kerja sulit hidup sulit kali ustadz felix tidak relate dirasain orang,Positif
2:26 even di America 🇺🇸 pun masih jauh lebih tertib dan tertata daripada di Indonesia 🇮🇩,even america tertib tata indonesia,Positif
Yg tdk balik di luar negeri banyak banget,tidak luar negeri banget,Netral
"Orang intelektual di Indonesia bicara hal yang sama, artinya memang Indonesia tidak baik2 saja, terus mau di debat gimana lagi, lihat kenyataannya memang seperti itu",orang intelektual indonesia bicara arti indonesia tidak debat gimana lihat nyata,Positif
Betul banget koh felix. Ingin misuh krn saya gak mapu ke luar negeri. Merasa gak nyaman hidup di negeri sendiri,banget koh felix misuh tidak mapu luar negeri tidak nyaman hidup negeri,Positif
"Menarik yang Ustd Felix bilang, jujur gua saat ini dalam posisi netral dan gua juga baca banyak perkembangan Indonesia saat ini dan beberapa negara di Luar, saat ini gua masih belum menentukan pilihan untuk berada dipihak mana tapi secara hati nurani says Indonesia  must be saved and there must be big changes to be free from the shackles of people who have no sense of justice",tarik ustadz felix bilang jujur posisi netral baca kembang indonesia negara luar tidak pilih ada hati nurani says indonesia must saved must big changes free shackles people sense justice,Negatif
😂😂😂😂😂Generasi hancur jadi ternaknya TIK TOK😂😂😂😂😂😂😂,generasi hancur ternak tik tok,Netral
"Anak anak kuliah koruptor dan pengusaha suap lagi demo yaa🤣 takut yaa bapaknya di jobloskan ke penjara makanya demo 🤣🤣 kalian enak bapak pejabat pegawai negeri dan pengusaha jadi kalo ke kampus pake mobil, hp iphone tiap hari nongkrong di kantin kampus ngabisi uang bapaknya yang koruptor dan yang bapaknya pengusaha tukang suap ilegal 🤣🤣.. reklamenya kalo demo pake atas nama rakyat 🤣 padahal atas nama rakyat anak pejabat dan anak  pengusaha🤣🤣",anak anak kuliah koruptor usaha suap demo yaa takut jobloskan penjara demo enak jabat pegawai negeri usaha kampus pakai mobil iphone nongkrong kantin kampus ngabisi uang koruptor usaha tukang suap ilegal reklame demo pakai nama rakyat nama rakyat anak jabat anak usaha,Positif
berdoa🙏  semoga kita dan keluarga selamat dari indonesia,doa moga keluarga selamat indonesia,Positif
"hijrah itu beda dengan kabur ya, kalo saya lebih milih pingin hijrah ke luar negeri cari kehidupan yg lebih makmur. dan akan kembali ke indo untuk memakmurkannya 😀",hijrah beda kabur milih pingin hijrah luar negeri cari hidup makmur indo makmur,Positif
Dikatain gak nasionalis sama org yg gak bisa berbuat lebih banyak daripada kontribusi gw utk negara. Kalo yth gak terima boleh tukeran posisi dulu selama 2 tahun pak.,dikatain tidak nasionalis orang tidak kontribusi negara yth tidak terima tukeran posisi,Positif
"Jamin dulu kebutuhan rakyatnya, sejahterakan rakyat nya, bela warga negaranya jika seluruhnya sudah terpenuhi Silahkan negara tekan rakyat dan tegakkan hukum dengan se keji² nya. #Ayihijrah",jamin butuh rakyat sejahtera rakyat bela warga negara penuh silah negara tekan rakyat tegak hukum keji ayihijrah,Positif
"Senyap saja tanpa mengkritik tapi melakukan tindakan nyata untuk kemajuan NKRI yg lebih beradab sesuai tuntunan Baginda Nabi Muhammad SAW Mari semua Ulama, Orang2 cerdas Baik dan Orang2 Kaya yg Baik Indonesia yg pro rakyat ciptakan lapangan kerja dan sekolah2 yg baik buat rakyat",senyap tidak kritik laku tindak nyata maju nkri adab sesuai tuntun baginda nabi muhammad saw mari ulama orang cerdas orang kaya indonesia pro rakyat cipta lapang kerja sekolah rakyat,Negatif
Smoga situasi ini tidak sengaja diciptakan agar Indonesia berkurang penduduknya agar nanti diisi WNA yg dah lama incar Indonesia yg super kaya Baiknya Orang2 Baik dan Cerdas seperti Ustadz Felix dan bang Ray merangkul orang2 baik lainnya tuk ciptakan lapangan kerja dan sekolah2 yg bisa memberi kontribusi dan solusi buat hadapi pimpinan yg dzolim ini Berilah edukasi berupa dalil2 agama agar rakyat bijak menyikapi kehidupan yg sulit ini dan edukasi keterampilan ilmu agar rakyat bisa mengatasi kesulitan dlm pekerjaan/mencari nafkah,moga situasi tidak sengaja cipta indonesia duduk isi wna incar indonesia super kaya orang cerdas ustadz felix ray rangkul orang tuk cipta lapang kerja sekolah kontribusi solusi hadap pimpin dzolim ilah edukasi upa dalil agama rakyat bijak sikap hidup sulit edukasi terampil ilmu rakyat sulit kerja cari nafkah,Negatif
Juosss Indonesia perlu orang 2 kyk anda,juosss indonesia orang,Negatif
Di indo umur 25 udah lansia😂😂😂😂,indo umur lansia,Positif
"Saya tinggal di Canada for more than 15 years, pengen banget pindah ke Indonesia pd usia 50 th, tapi skrg niat pulang tiba2 memudar, terlalu banyak hal yang membuat aku akhirnya bertahan di luar meskipun kangenku banyak sekali untuk Indonesia 🇮🇩   #getwellsoonindonesia",tinggal canada years ken banget pindah indonesia usia niat pulang pudar tahan luar kangen indonesia getwellsoonindonesia,Positif
D katain Ga nasionalis sm yg org yg dgaji ama rakyat.,katain tidak nasionalis orang dgaji rakyat,Positif
"Org2 indonesia sering paling susah diatur...spt trotoar , itu sdh penuh dgnnpedagang kaki lima shg hak pejalan kaki dirampas....selain itu petugasnya jg mood2an utk mengaturnya..selain itu , susah bgt diajarun utk buang sampah pd tmonya...dan byk lg permasalahan,npdhl kl keluar negri bs nurut sm aturan...ini sdh jd lingkaran setan...kl masy dan pemerintah  serta instansi2 lainnya dpt bekerjasama dan sadar akan aturan, indonesia bs maju...belum juga dgn tradisi korupsi yg dari jabatan rendah smp yg tgg....entahlah",org indonesia susah atur spt trotoar penuh dgnnpedagang kaki shg hak pejal kaki rampas tugas mood atur susah banget diajarun buang sampah tmonya npdhl negeri nurut atur lingkar setan masy pemerintah instansi bekerjasama sadar atur indonesia maju tidak tradisi korupsi jabat rendah smp tgg,Positif
"yang dibilang Ustad Felix Benar ""KEADILAN!"", orang kerja di Indonesia sering Overtime, sabtu minggu masih kerja, gak dibayar untuk itu, itu KEADILAN, kita kerja, gaji buat bayar pajak, pajak tinggi, tapi jalan rusak, bayar pungli, transportasi gak nyaman, itu KEADILAN, kerja, gaji buat bayar BPJS, pas ngurus banyak yang ngeluh karena dipersulit, itu KEADILAN, Quality Of Life bakal berjalan dengan baik jika sistem keadilan Negara berjalan dengan seadil adilnya, ""KEADILAN BAGI SELURUH RAKYAT INDONESIA"".",bilang ustad felix adil orang kerja indonesia overtime sabtu minggu kerja tidak bayar adil kerja gaji bayar pajak pajak jalan rusak bayar pungli transportasi tidak nyaman adil kerja gaji bayar bpjs pas urus keluh sulit adil quality life jalan sistem adil negara jalan adil adil adil rakyat indonesia,Positif
indonesia gelap. korup di mana2. yg diharap menegakkan hukum malah bermain hukum. perbaikan dengan buzzer dengan pencitraan bukan dengan esensi bukan dengan kenyataan. muak!,indonesia gelap korup harap tegak hukum main hukum buzzer citra tidak esensi tidak nyata muak,Positif
negara gagal menyediakan sila² di pancasila kepada rakyatnya🙏,negara gagal sedia sila pancasila rakyat,Positif
Jadikan KDM contoh pemimpin di Indonesia.,kdm contoh pimpin indonesia,Negatif
Gimana mau puas makin parah meneruskan kebijakan dari sebelumnya,gimana puas parah bijak belum,Positif
"Menurut saya Indonesia baik-baik saja, cuma kadang-kadang gelap pas mati lampu.. 😂",indonesia kadang kadang gelap pas mati lampu,Positif
